Entity,Code,Year,Emissions,YoY_Pct_Change
International transport,,1924,0.0,0.0
International transport,,1925,0.0,0.0
International transport,,1926,0.0,0.0
International transport,,1927,0.0,0.0
International transport,,1928,0.0,0.0
International transport,,1929,0.0,0.0
International transport,,1930,0.0,0.0
International transport,,1931,0.0,0.0
International transport,,1932,0.0,0.0
International transport,,1933,0.0,0.0
International transport,,1934,0.0,0.0
International transport,,1935,0.0,0.0
International transport,,1936,0.0,0.0
International transport,,1937,0.0,0.0
International transport,,1938,0.0,0.0
International transport,,1939,0.0,0.0
International transport,,1940,0.0,0.0
International transport,,1941,0.0,0.0
International transport,,1942,0.0,0.0
International transport,,1943,0.0,0.0
International transport,,1944,0.0,0.0
International transport,,1945,0.0,0.0
International transport,,1946,0.0,0.0
International transport,,1947,0.0,0.0
International transport,,1948,0.0,0.0
International transport,,1949,0.0,0.0
International transport,,1950,0.0,0.0
International transport,,1951,0.0,0.0
International transport,,1952,0.0,0.0
International transport,,1953,0.0,0.0
International transport,,1954,0.0,0.0
International transport,,1955,0.0,0.0
International transport,,1956,0.0,0.0
International transport,,1957,0.0,0.0
International transport,,1958,0.0,0.0
International transport,,1959,213369376.0,100.0
International transport,,1960,238240608.0,11.656420647731565
International transport,,1961,263240080.0,10.493371474270248
International transport,,1962,272612592.0,3.5604426195281507
International transport,,1963,285136144.0,4.593900783570555
International transport,,1964,312103184.0,9.457601418640213
International transport,,1965,322618864.0,3.369295969758514
International transport,,1966,349047296.0,8.19184336350524
International transport,,1967,373563120.0,7.02363957003695
International transport,,1968,394825312.0,5.691726742190182
International transport,,1969,413412784.0,4.7077711167616325
International transport,,1970,437225120.0,5.759941859949836
International transport,,1971,461070432.0,5.453783625240929
International transport,,1972,492339008.0,6.78173524690475
International transport,,1973,527539056.0,7.149554966808561
International transport,,1974,489382160.0,-7.232999256836067
International transport,,1975,448436960.0,-8.366712836446673
International transport,,1976,439793584.0,-1.927445052700384
International transport,,1977,450327584.0,2.3952145695695277
International transport,,1978,456567376.0,1.3856117683432867
International transport,,1979,458483648.0,0.4197128618318099
International transport,,1980,447044640.0,-2.494965316625643
International transport,,1981,412885168.0,-7.641176952708794
International transport,,1982,374153024.0,-9.380851384809251
International transport,,1983,358885136.0,-4.0806533745936
International transport,,1984,360273792.0,0.3869360585610879
International transport,,1985,368118416.0,2.1774062322024244
International transport,,1986,394004576.0,7.032019827011317
International transport,,1987,432128496.0,9.676009448174531
International transport,,1988,447370736.0,3.5272471362314417
International transport,,1989,464199488.0,3.7617015700374288
International transport,,1990,553613225.4,19.261920728357197
International transport,,1991,535058310.3,-3.3516025717401448
International transport,,1992,551258531.0,3.027748637511441
International transport,,1993,561160990.6,1.7963367536528925
International transport,,1994,586237720.0,4.468722847820843
International transport,,1995,619380427.5,5.653458719783504
International transport,,1996,671490103.1,8.413193779843812
International transport,,1997,708027257.0,5.441205124442284
International transport,,1998,753176974.8,6.376833286236034
International transport,,1999,777916623.2,3.2847058829127787
International transport,,2000,788039117.9,1.3012313142712553
International transport,,2001,784340431.5,-0.4693531470691953
International transport,,2002,803239387.9,2.4095348959452405
International transport,,2003,839092770.7,4.463598690514374
International transport,,2004,910479076.1,8.50755815002995
International transport,,2005,948914696.4,4.221472113849926
International transport,,2006,1001919131.0,5.585795519986007
International transport,,2007,1059592183.0,5.756258186470341
International transport,,2008,1077662402.0,1.7053937628001545
International transport,,2009,1037253519.0,-3.7496792061230324
International transport,,2010,1100956240.0,6.141480345269381
International transport,,2011,1125021881.0,2.1858853354607444
International transport,,2012,1118539693.0,-0.5761832822520898
International transport,,2013,1134168972.0,1.3972931937785062
International transport,,2014,1137738966.0,0.31476738370867724
International transport,,2015,1144622625.0,0.6050297305190477
International transport,,2016,1155307739.0,0.9335053987771734
International transport,,2017,1155307739.0,0.0
